"test url","fcp","fid","lcp","cls","date","device"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2285","6","2661","0.2","2022-02-26 06:55","desktop"
"https://www.99acres.com/commercial-property-in-noida-ffid","1785","no data","2501","0.06","2022-02-26 06:55","desktop"
"https://www.99acres.com/property-in-noida-ffid","2079","6","2698","0.05","2022-02-26 06:55","desktop"
"https://www.99acres.com/property-in-noida-ffid","2079","6","2698","0.05","2022-02-26 08:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2285","6","2661","0.2","2022-02-26 08:00","desktop"
"https://www.99acres.com/commercial-property-in-noida-ffid","1785","no data","2501","0.06","2022-02-26 08:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2079","6","2698","0.05","2022-02-26 08:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2079","6","2698","0.05","2022-02-26 10:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2285","6","2661","0.2","2022-02-26 10:00","desktop"
"https://www.99acres.com/commercial-property-in-noida-ffid","1785","no data","2501","0.06","2022-02-26 10:00","desktop"
"https://www.99acres.com","1827","4","2602","0.09","2022-02-26 08:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","7","2675","0.06","2022-02-26 15:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2279","6","2661","0.2","2022-02-26 15:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","7","2675","0.06","2022-02-26 15:00","desktop"
"https://www.99acres.com","1827","4","2602","0.09","2022-02-26 10:00","desktop"
"https://www.99acres.com","1826","4","2599","0.09","2022-02-26 15:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","7","2675","0.06","2022-02-26 12:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2279","6","2661","0.2","2022-02-26 12:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","7","2675","0.06","2022-02-26 12:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","7","2675","0.06","2022-02-26 18:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2279","6","2661","0.2","2022-02-26 18:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","7","2675","0.06","2022-02-26 18:00","desktop"
"https://www.99acres.com","1826","4","2599","0.09","2022-02-26 12:00","desktop"
"https://www.99acres.com","1826","4","2599","0.09","2022-02-26 18:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2279","6","2661","0.2","2022-02-26 20:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","7","2675","0.06","2022-02-26 20:00","desktop"
"https://www.99acres.com","1826","4","2599","0.09","2022-02-26 22:00","desktop"
"https://www.99acres.com","1826","4","2599","0.09","2022-02-26 20:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","7","2675","0.06","2022-02-26 22:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2279","6","2661","0.2","2022-02-26 22:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","7","2675","0.06","2022-02-26 22:00","desktop"
"https://www.99acres.com","1826","4","2599","0.09","2022-02-27 06:13","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","9","2744","0.06","2022-02-27 11:19","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2261","6","2562","0.19","2022-02-27 11:19","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","9","2744","0.06","2022-02-27 11:19","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","9","2744","0.06","2022-02-27 12:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2261","6","2562","0.19","2022-02-27 12:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","9","2744","0.06","2022-02-27 12:00","desktop"
"https://www.99acres.com","1826","4","2596","0.09","2022-02-27 11:19","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","9","2744","0.06","2022-02-27 15:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2261","6","2562","0.19","2022-02-27 15:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","9","2744","0.06","2022-02-27 15:00","desktop"
"https://www.99acres.com","1826","4","2596","0.09","2022-02-27 12:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","9","2744","0.06","2022-02-27 18:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2261","6","2562","0.19","2022-02-27 18:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","9","2744","0.06","2022-02-27 18:00","desktop"
"https://www.99acres.com","1826","4","2596","0.09","2022-02-27 15:00","desktop"
"https://www.99acres.com","1826","4","2596","0.09","2022-02-27 18:00","desktop"
"https://www.99acres.com","1826","4","2596","0.09","2022-02-27 20:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","9","2744","0.06","2022-02-27 20:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2261","6","2562","0.19","2022-02-27 20:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","9","2744","0.06","2022-02-27 20:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","9","2744","0.06","2022-02-27 22:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2261","6","2562","0.19","2022-02-27 22:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","9","2744","0.06","2022-02-27 22:00","desktop"
"https://www.99acres.com","1826","4","2596","0.09","2022-02-27 22:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","7","2675","0.06","2022-02-27 06:13","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2279","6","2661","0.2","2022-02-27 06:13","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","7","2675","0.06","2022-02-27 06:13","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","9","2744","0.06","2022-02-28 08:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2261","6","2562","0.19","2022-02-28 08:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","9","2744","0.06","2022-02-28 08:00","desktop"
"https://www.99acres.com","1826","4","2596","0.09","2022-02-28 08:00","desktop"
"https://www.99acres.com","1826","4","2596","0.09","2022-02-28 10:00","desktop"
"https://www.99acres.com","1823","4","2589","0.09","2022-02-28 12:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2037","9","2713","0.06","2022-02-28 12:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2190","6","2482","0.2","2022-02-28 12:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2037","9","2713","0.06","2022-02-28 12:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2037","9","2713","0.06","2022-02-28 18:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2190","6","2482","0.2","2022-02-28 18:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2037","9","2713","0.06","2022-02-28 18:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2037","9","2713","0.06","2022-02-28 15:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2190","6","2482","0.2","2022-02-28 15:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2037","9","2713","0.06","2022-02-28 15:00","desktop"
"https://www.99acres.com","1823","4","2589","0.09","2022-02-28 15:00","desktop"
"https://www.99acres.com","1823","4","2589","0.09","2022-02-28 18:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","9","2744","0.06","2022-02-28 10:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2261","6","2562","0.19","2022-02-28 10:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","9","2744","0.06","2022-02-28 10:00","desktop"
"https://www.99acres.com","1823","4","2589","0.09","2022-02-28 20:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2037","9","2713","0.06","2022-02-28 22:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2190","6","2482","0.2","2022-02-28 22:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2037","9","2713","0.06","2022-02-28 22:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2037","9","2713","0.06","2022-02-28 20:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2190","6","2482","0.2","2022-02-28 20:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2037","9","2713","0.06","2022-02-28 20:00","desktop"
"https://www.99acres.com","1823","4","2589","0.09","2022-02-28 22:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2037","9","2713","0.06","2022-03-01 08:36","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2190","6","2482","0.2","2022-03-01 08:36","desktop"
"https://www.99acres.com/property-in-noida-ffid","2037","9","2713","0.06","2022-03-01 08:36","desktop"
"https://www.99acres.com","1823","4","2589","0.09","2022-03-01 08:36","desktop"
"https://www.99acres.com","1823","4","2589","0.09","2022-03-01 10:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2037","9","2713","0.06","2022-03-01 10:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2190","6","2482","0.2","2022-03-01 10:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2037","9","2713","0.06","2022-03-01 10:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","8","2713","0.06","2022-03-01 12:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2181","7","2482","0.2","2022-03-01 12:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","8","2713","0.06","2022-03-01 12:00","desktop"
"https://www.99acres.com","1820","4","2582","0.09","2022-03-01 12:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","8","2713","0.06","2022-03-01 15:01","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2181","7","2482","0.2","2022-03-01 15:01","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","8","2713","0.06","2022-03-01 15:01","desktop"
"https://www.99acres.com","1820","4","2582","0.09","2022-03-01 15:01","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","8","2713","0.06","2022-03-01 18:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2181","7","2482","0.2","2022-03-01 18:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","8","2713","0.06","2022-03-01 18:00","desktop"
"https://www.99acres.com","1820","4","2582","0.09","2022-03-01 18:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","8","2713","0.06","2022-03-01 20:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2181","7","2482","0.2","2022-03-01 20:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","8","2713","0.06","2022-03-01 20:00","desktop"
"https://www.99acres.com","1820","4","2582","0.09","2022-03-01 20:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","8","2713","0.06","2022-03-01 22:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2181","7","2482","0.2","2022-03-01 22:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2044","8","2713","0.06","2022-03-01 22:00","desktop"
"https://www.99acres.com","1820","4","2582","0.09","2022-03-01 22:00","desktop"
